#{"t_start": 1777902537.7541986, "env_id": "None"}
r,l,t
--1039.709097,32,5.467414
-672.635266,42,5.516042
-971.014962,23,5.547637
3857.820398,207,5.799364
-739.388916,41,5.849236
-422.32923,50,5.906663
-773.992911,37,5.95469
2586.456274,140,6.124139
-743.925028,26,14.394401
-594.994195,60,14.465077
-803.607319,23,14.492709
-912.409184,22,14.522268
-889.66811,17,14.54216
1361.612198,89,14.655692
2938.497377,115,14.790015
-414.999831,84,14.906143
-149.758496,72,23.372862
-817.257442,30,23.411155
2031.872589,72,23.494423
-675.968959,32,23.535285
69.575648,61,23.61734
1321.810681,90,23.722147
2219.804753,98,23.845087
2884.764435,134,24.001393
1336.875903,92,31.503548
1950.928566,124,31.665155
2485.892344,109,31.799001
-553.545767,55,31.868649
-796.918448,51,31.931764
430.875331,69,32.012794
-434.524301,49,32.068498
3683.569786,168,32.274862
1313.157876,50,40.551221
-735.475575,64,40.626607
-1.657423,67,40.707452
1148.94519,47,40.760763
824.36691,102,40.885229
-535.25792,33,40.925892
1592.382022,67,41.001324
1131.264214,68,41.087721
-133.066229,53,49.703156
796.161364,46,49.767967
3074.289188,133,49.928686
-631.477645,47,49.982274
-675.680414,40,50.034073
1914.121903,96,50.151282
-744.060273,25,50.180703
-863.838506,22,50.20645
-21.533054,59,57.650446
-892.227376,20,57.684261
-864.949359,20,57.714098
2312.97152,122,57.856499
3150.257761,209,58.12993
1565.727081,115,58.273851
1208.43522,73,58.363698
3350.074252,124,58.525686
1977.12875,99,66.896932
1224.664876,90,67.004375
-950.237044,24,67.032721
2141.766982,75,67.124297
-793.05939,19,67.155627
1900.242515,107,67.280614
1500.954469,85,67.386719
3199.476051,150,67.580392
350.121592,78,76.227767
-924.881834,21,76.255401
994.340664,52,76.328501
1497.419578,70,76.415536
-752.18359,30,76.45289
1278.63702,54,76.521321
2802.900185,126,76.67764
2235.985198,118,76.820026
3696.24594,191,84.490378
1474.49939,71,84.577097
-1064.576087,15,84.597028
-489.640125,43,84.653848
618.188998,95,84.765468
397.73053,76,84.863005
1536.143055,78,84.956936
3177.989651,148,85.140357
-585.952985,39,93.555313
2653.769161,125,93.70921
1013.395477,57,93.783745
-320.31597,60,93.854951
2331.876573,97,93.967523
-1062.127543,27,94.024606
2745.822781,142,94.201186
-812.041106,34,94.240892
-660.845674,39,102.721515
1499.906445,87,102.82723
-790.330918,24,102.858305
2016.242429,133,103.015137
-850.157319,39,103.066653
-836.742715,32,103.106165
2563.665531,118,103.243538
-308.574253,45,103.294415
-425.907245,48,110.75807
1956.044061,108,110.903852
-759.172327,33,110.944834
2582.613217,115,111.088623
-181.158087,77,111.177002
2877.720172,138,111.340669
1884.990463,99,111.472162
2663.059115,129,111.6258
3006.395783,131,120.186384
3069.723782,131,120.348041
3858.685432,199,120.600173
1862.399123,78,120.698494
1591.961238,68,120.775994
1159.671545,67,120.857591
-250.20405,48,120.922144
-889.270644,43,120.974994
-49.042175,50,129.573718
25.592131,79,129.675399
-697.863999,26,129.714408
2945.920283,124,129.858083
-826.456808,26,129.893527
-482.517549,32,129.933758
1428.011102,82,130.053466
1183.262555,99,130.170059
2798.773669,146,137.70473
-436.61634,41,137.751676
-861.847423,51,137.819445
3519.086805,209,138.069312
-798.770766,24,138.098492
972.648968,77,138.198514
-847.399444,26,138.228343
3321.893675,146,138.423983
-996.94074,27,146.802666
51.136861,82,146.913786
-494.72906,31,146.950356
639.12192,85,147.063523
-730.710916,47,147.118647
-649.304459,35,147.171599
-707.486247,65,147.247483
-933.420058,19,147.279289
2334.252541,111,155.947355
-60.743475,97,156.067625
2907.929929,129,156.222906
-506.835581,42,156.280144
-927.324082,55,156.342935
987.635845,74,156.430769
1559.7656,96,156.570561
-697.448589,31,156.611839
801.862394,47,163.978789
-699.07383,29,164.01576
-218.121041,47,164.081459
1666.638739,107,164.212579
1142.122178,39,164.262024
2110.143396,128,164.419986
-529.223475,40,164.469342
770.199185,129,164.629799
-36.500074,56,173.251518
3891.438543,167,173.472621
1524.27159,80,173.567909
-588.438042,55,173.63078
-748.315163,23,173.663667
2460.014613,110,173.799469
-1052.38098,24,173.82903
195.884172,64,173.905547
-829.066369,28,182.516011
1396.976831,77,182.608132
1824.951457,88,182.714131
-780.660533,23,182.744346
-872.857576,20,182.769461
2008.818677,120,182.929211
-765.160101,31,182.968629
-990.773673,21,183.003715
-701.528909,42,190.363861
3381.49533,156,190.556357
3069.143783,142,190.727645
3030.115709,117,190.874009
-354.776292,53,190.938395
-786.922308,39,190.985663
-178.374021,71,191.072661
3456.094928,249,191.391614
-605.793548,41,199.969192
3637.708633,191,200.197251
-727.742748,30,200.234204
-621.63928,32,200.27078
1765.70992,72,200.354611
2376.567025,134,200.525329
-320.720334,72,200.610947
478.014513,82,200.707385
3494.048987,172,209.374588
-331.598672,56,209.454699
707.127727,44,209.51003
-417.726129,36,209.555118
2789.448321,137,209.713221
-655.609287,31,209.756717
393.979141,80,209.852762
3182.088811,154,210.043132
3452.473241,164,217.682242
-127.024848,49,217.740973
-633.971577,26,217.771113
-1017.622945,44,217.821016
-144.530624,50,217.892858
3043.511783,178,218.099614
1453.227151,83,218.220865
1862.147705,94,218.389021
2483.313368,104,226.967762
1232.438638,58,227.047353
276.778978,73,227.16414
1182.825927,97,227.288637
235.75131,80,227.38961
1356.400708,59,227.464328
2010.816239,107,227.592722
-1039.35201,21,227.62168
2607.123792,101,236.020793
-675.057797,28,236.052877
-1195.588223,43,236.104891
-856.491435,25,236.133097
-367.832529,43,236.184846
