Time,Longitude,Latitude,Altitude,Roll,Pitch,Heading
567.142,32.97963242,40.1158915,3313.615549,-2.339001269,-1.652152858,305.3277881
568.142,32.97935727,40.11597476,3328.619822,-1.835705974,-0.9427264015,304.6650412
569.142,32.97907105,40.11605825,3342.252298,0.2438353788,-1.89667331,304.391861
570.142,32.9787753,40.11614476,3355.053306,0.8652333697,-1.676936519,303.1731913
571.142,32.97847278,40.11623377,3367.33566,1.410177184,-1.245945179,303.330996
572.142,32.9781573,40.11632854,3379.74491,2.153077544,-1.878371818,303.5636049
573.142,32.97783647,40.11642814,3391.548819,2.22800045,-2.762565206,303.7012742
574.142,32.9775065,40.11653396,3402.394341,1.683651556,-3.04500484,304.1865455
575.142,32.9771662,40.11664624,3412.000924,1.262245319,-4.035488351,304.7229339
576.142,32.97681458,40.11676523,3420.356898,1.036207465,-3.408758304,304.5081654
577.142,32.97645144,40.1168907,3427.846326,2.195407214,-3.978975366,304.6586755
578.142,32.97607866,40.11702353,3434.540819,2.640838215,-2.814093433,305.1555308
579.142,32.97570049,40.11716351,3441.731891,3.126832428,-0.1409854965,305.1498754
580.142,32.97532089,40.11730865,3450.985998,2.471487089,0.6376010939,305.7934704
581.142,32.97494062,40.11745768,3461.593456,1.380298522,-0.5429671687,306.5315407
582.142,32.97455719,40.11761054,3471.711133,0.8357271125,-1.710236146,306.5307484
583.142,32.97416868,40.11776761,3480.702228,2.150849408,-1.316626325,306.2065876
584.142,32.97377596,40.11792939,3489.174293,1.619658873,-1.072310031,306.0414883
585.142,32.97337895,40.11809508,3497.330271,0.4538166048,-0.9975568122,306.1421652
586.142,32.97297708,40.11826339,3505.422964,0.2399620746,-0.2016515035,306.1869713
587.142,32.9725711,40.11843351,3513.529668,0.3059731849,-0.2599544919,306.2183355
588.142,32.97216119,40.11860546,3521.377954,0.1374210182,-0.7297571544,306.2767473
589.142,32.97174666,40.11877951,3528.486651,-0.1080954743,-1.090936064,306.2877029
590.142,32.97132682,40.11895583,3534.681794,-0.3995478704,-1.31297132,305.9375055
591.142,32.9709008,40.11913399,3539.984854,-0.8774491096,-1.394556755,305.829889
592.142,32.97046828,40.11931374,3544.543802,-1.304661968,-1.399930193,304.8854378
593.142,32.97002833,40.11949391,3548.58787,-0.3398328071,-1.496423797,304.8703294
594.142,32.96958227,40.1196762,3552.226624,1.68265104,-1.79278848,304.7077709
595.142,32.96913171,40.11986294,3555.491012,3.474779339,-1.841170552,304.8626249
596.142,32.96867856,40.1200561,3558.764765,3.788890348,-1.495438222,305.6755267
597.142,32.96822424,40.12025632,3562.233507,2.645023199,-1.348745289,306.1165384
598.142,32.96776767,40.12046183,3565.747173,0.6822342457,-1.041024243,306.7759248
599.142,32.96730733,40.12067068,3568.91631,-0.892428675,-1.579595971,307.0422476
600.142,32.9668412,40.12088141,3571.356068,-1.475539213,-1.270700239,306.5688335
601.142,32.96636891,40.12109277,3573.854734,-0.299793758,-0.5111746659,306.2685237
602.142,32.96589208,40.12130503,3576.775196,-0.5722288197,-0.9481451961,306.1753053
603.142,32.96541045,40.12151825,3579.696732,-1.425943182,-0.8575196315,306.0721695
604.142,32.96492328,40.12173179,3582.254768,-2.183627699,-1.018595289,305.4270444
605.142,32.9644297,40.12194465,3584.623155,-1.892245853,-0.7040633702,305.0980479
606.142,32.9639307,40.12215697,3587.367562,-0.9656913117,-0.04114847799,304.4629223
607.142,32.96342775,40.12236884,3590.891062,-0.7251426146,-0.2414973997,304.5575614
608.142,32.96292109,40.12258129,3594.134669,-1.59953372,-1.410656899,304.0931905
609.142,32.9624084,40.12279397,3596.171699,-1.368975883,-1.163298716,304.0902671
610.142,32.96189028,40.1230074,3597.649722,-0.3969748101,-0.8502582333,303.5767735
611.142,32.96136766,40.12322197,3599.010522,0.2459885959,-1.13421513,303.8034811
612.142,32.96084155,40.12343901,3600.32242,0.2898442001,-0.9282171587,303.4962046
613.142,32.96031154,40.123658,3601.369585,-0.545719895,-1.32198258,303.6831332
614.142,32.95977715,40.12387831,3602.430942,-1.387465738,-0.3864379093,303.0471606
615.142,32.95923787,40.12409815,3603.534927,-1.84574998,-1.425508398,303.0164794
616.142,32.95869243,40.12431793,3603.47774,-2.67908578,-2.34515463,302.4029645
617.142,32.95813875,40.12453714,3601.946588,-2.425115227,-1.718939835,302.0883114
618.142,32.95757792,40.12475582,3600.244336,-1.307287001,-1.064289255,301.4011397
619.142,32.95701194,40.12497416,3599.65227,-0.2420852762,-0.3256942088,301.3343951
620.142,32.9564428,40.12519317,3600.027541,-0.5021951549,-1.01869358,301.2867204
621.142,32.95587,40.125413,3600.674194,-0.8792274668,-0.4706292222,301.1476031
622.142,32.95529382,40.12563318,3601.768487,-0.1756413561,-0.1974611158,301.0668702
623.142,32.95471507,40.12585424,3603.091664,0.05280966863,-0.9461036098,301.026217
624.142,32.95413308,40.12607687,3603.864737,0.002980158819,-1.019800177,301.1178508
625.142,32.95354766,40.12630138,3604.033533,0.03794732707,-0.98035338,301.1459638
626.142,32.95295884,40.12652766,3603.821479,-0.2970952196,-1.057680513,301.2067252
627.142,32.95236633,40.12675546,3603.231171,-0.7132510418,-1.079390803,301.1965345
628.142,32.95176976,40.12698434,3602.312122,-0.8990317604,-1.018100954,301.1177961
629.142,32.95116915,40.12721402,3601.349477,-0.7351381696,-0.7522396292,300.9832414
630.142,32.95056499,40.12744432,3600.691195,-0.5456994578,-0.6254357265,301.1491604
631.142,32.94995769,40.12767595,3599.831952,-0.1404642277,-1.515794,301.1954417
632.142,32.94934626,40.12791008,3597.468943,0.2002288898,-2.328496652,301.2837424
633.142,32.94873083,40.1281472,3593.980431,0.6789713896,-1.532825077,301.5508848
634.142,32.94811467,40.12838741,3590.109473,1.769319096,-2.444856608,301.8694994
635.142,32.94749797,40.12863199,3585.289811,1.756940232,-3.040476852,302.3771737
636.142,32.94687985,40.12888163,3578.64077,0.7790853676,-3.647045248,302.7354581
637.142,32.9462591,40.1291353,3571.110695,-0.2315673719,-2.335143493,303.1016656
638.142,32.94563621,40.12939169,3564.013471,-0.4890443727,-2.038186078,302.9791593
639.142,32.94501155,40.12964945,3558.306865,-0.5906037361,-1.265755716,303.2077794
