#{"t_start": 1777893224.684507, "env_id": "None"}
r,l,t
1450.785027,73,255.481471
2859.397135,106,255.630111
2225.147209,86,255.724135
-556.423329,35,255.767177
2231.492698,101,255.884431
1443.968276,104,256.002716
3617.592106,185,264.361987
-362.772641,37,264.406117
1787.074869,113,264.538566
1642.49743,60,264.603779
1079.61384,123,264.78341
1460.862137,96,264.965319
1394.817518,63,265.079915
1686.367109,64,265.17906
1883.377199,71,265.285142
2455.749201,89,265.417235
2096.240132,87,274.363852
1808.716051,63,274.452972
2422.90245,112,274.57944
2689.630794,96,274.693555
2051.795308,101,274.809618
1151.865522,50,274.868704
2253.783772,102,274.991136
1817.850925,63,275.066633
1502.465506,71,275.146552
1188.613998,41,275.195169
2726.171917,100,286.512265
1925.590674,68,286.602012
2452.277247,83,286.702054
-80.172198,52,286.763452
-220.9267,52,286.823523
3708.499935,165,287.020164
1134.80089,58,287.107626
2992.413802,124,287.260203
1552.566591,81,287.350365
3706.182286,166,287.549308
3678.182327,163,296.903266
-305.06108,42,296.953629
247.509369,69,297.029484
3294.990433,140,297.198464
2041.344328,69,297.27957
3079.227534,123,297.424025
2699.717125,100,297.539039
1298.21418,44,297.591855
2347.221316,87,297.707773
3141.881319,125,297.849503
2902.448652,113,306.97923
2028.79565,68,307.09649
869.784393,106,307.261333
1612.148308,77,307.352159
1325.625742,53,307.41413
1493.497761,69,307.498037
2998.792258,111,307.622095
2082.447643,75,307.71025
2166.550971,79,307.799271
-472.218369,41,307.844101
2847.042715,128,316.214019
-343.935341,43,316.261041
1400.633582,65,316.33549
1940.001703,83,316.436093
3935.701536,151,316.631966
3374.704789,130,316.782583
2630.185841,117,316.918849
1528.494089,95,317.034156
1944.002531,71,317.113611
1871.972526,62,317.18474
1316.931945,53,328.243799
1322.621924,47,328.298892
3477.906742,134,328.455216
1458.930216,122,328.601707
1892.222885,78,328.690498
1979.011356,83,328.792178
2293.291589,98,328.90395
1442.860729,41,328.949705
-486.111356,34,328.9909
-200.583831,59,329.060849
1311.717621,48,338.335057
2234.917436,99,338.447011
1757.250721,101,338.573253
542.16948,96,338.699902
-361.158346,39,338.743344
1689.861322,81,338.840575
2391.96978,92,338.945194
-434.119313,44,338.996631
-480.840255,34,339.034641
1093.321055,46,339.085585
2597.153014,120,348.371905
1116.31361,58,348.438802
2809.821407,136,348.593129
1923.10307,63,348.664237
1339.581386,44,348.715162
2555.727027,120,348.861775
1750.023693,60,348.931854
3563.779384,163,349.124615
2476.39389,130,349.286813
2083.240838,93,349.40335
1460.00704,72,358.222083
2478.362626,116,358.407818
2414.281698,98,358.577365
1632.299351,71,358.709372
1666.061655,55,358.8124
2109.145989,87,358.951861
3079.989738,128,359.175888
-789.443661,28,359.217139
1604.35991,78,359.372365
-259.359206,56,359.462727
3164.463164,118,367.88487
-525.44332,38,367.927157
2510.942535,90,368.047787
3695.826756,164,368.235682
1639.254703,69,368.319821
1385.872461,53,368.385033
2239.710483,89,368.489745
1808.335559,74,368.574898
2171.122277,91,368.677558
-814.867313,22,368.701996
3327.108969,172,379.987422
2742.317376,97,380.101639
1781.616221,80,380.193777
3579.432319,190,380.417301
130.994854,127,380.576007
1537.932898,52,380.650706
1612.913155,124,380.789959
1947.353592,62,380.867912
2028.822004,92,380.973965
1894.933977,80,381.064981
-651.133179,27,390.352815
2576.624297,153,390.538354
-313.555641,43,390.589851
2250.588224,80,390.689716
1683.50902,99,390.80301
-412.755291,50,390.85844
2107.75461,70,390.946142
-172.864251,56,391.0139
1654.96467,125,391.17195
2461.603779,90,391.280087
1454.971058,48,400.480055
2159.29971,102,400.601915
2292.33905,103,400.737375
2043.599024,67,400.812771
1728.802612,75,400.893991
2051.806972,74,400.980583
2494.741661,100,401.096052
3177.197881,125,401.237249
1977.85555,67,401.319587
1986.427124,88,401.418542
-310.980343,58,410.147856
-920.346358,27,410.186999
1371.507158,62,410.28309
1919.700785,85,410.412187
1947.09758,77,410.52784
3501.76018,135,410.754414
-779.092528,26,410.802168
1636.669565,70,410.906198
-819.579102,27,410.945644
2815.101862,119,411.162442
2057.641707,69,421.822491
3329.226512,118,421.961586
201.339414,85,422.054867
153.382237,72,422.137279
2655.076175,119,422.34557
-256.440198,41,422.413484
1672.784384,69,422.524197
1732.344208,58,422.640363
2345.068654,107,422.806588
1303.937976,60,422.897339
1324.689822,42,431.911922
1833.11122,75,431.99749
1629.272795,56,432.059608
3143.907096,136,432.233995
1968.291086,79,432.322787
2707.240241,107,432.449994
2355.595416,115,432.581599
1563.183947,58,432.648932
1277.129215,92,432.761208
2163.954414,75,432.845816
2099.765931,72,442.179614
1400.697292,48,442.235952
1249.082815,117,442.370828
1883.918882,84,442.465548
1724.582247,98,442.575319
-605.790899,37,442.627318
2433.843425,87,442.737792
1691.609721,99,442.854098
1178.389191,33,442.890544
1226.439628,44,442.949161
1787.434742,91,452.319103
1726.106333,65,452.402432
3007.322342,137,452.553495
1425.982188,57,452.618623
-594.718206,33,452.654763
3062.193101,132,452.811241
1639.820072,63,452.883011
2063.309785,101,453.00401
-51.885129,51,453.059729
1422.421557,44,453.113964
1840.97356,67,461.450828
3289.792591,149,461.633364
174.889619,74,461.722105
2222.35317,87,461.871166
1536.276703,117,462.07375
2105.003561,72,462.184822
1152.311677,50,462.260153
2035.422236,69,462.368459
2938.214949,133,462.574686
3045.159658,114,462.777877
2294.172283,79,473.782598
1754.765218,55,473.845473
2070.365888,70,473.926558
-11.742553,72,474.009548
1506.769974,55,474.078171
1196.196911,34,474.118373
1525.669257,70,474.211983
-880.101823,39,474.255097
-397.325844,41,474.303448
2298.520383,106,474.432275
2804.521414,143,483.783389
2812.464452,127,483.929547
3410.738265,139,484.08769
2148.16696,82,484.181965
3088.603011,118,484.320885
1417.082004,48,484.372608
3218.462895,166,484.562055
197.321322,92,484.665273
1795.055972,89,484.78858
1528.275252,56,484.853892
2699.163463,113,494.063881
91.442909,57,494.14115
2605.188432,115,494.277454
1219.503327,61,494.352431
-703.035773,32,494.392842
1583.946455,50,494.454254
2346.86214,91,494.556044
2971.922177,131,494.704956
1881.509721,76,494.791731
3174.230367,174,494.993849
1458.198567,77,504.372889
3020.033994,128,504.521494
3138.279906,147,504.692705
2815.113242,104,504.81632
1769.877995,118,504.968049
2715.25474,123,505.10958
-817.753124,24,505.136109
2440.904194,98,505.258076
2866.489169,132,505.41105
2877.368684,145,505.58185
1374.438518,48,516.426868
1937.819724,86,516.56292
2917.502101,114,516.762658
2319.001337,115,516.957779
1762.837887,63,517.072037
1554.740658,60,517.174505
2858.228496,125,517.356959
1230.074173,37,517.410465
2516.864862,90,517.526989
1871.87281,62,517.598531
1509.130677,57,526.027679
2718.085315,124,526.175103
1257.350512,43,526.226288
2992.314002,109,526.356844
520.795907,90,526.464872
1328.913455,45,526.523694
817.253205,55,526.591326
1834.405998,74,526.680477
1926.45767,78,526.770015
159.751051,74,526.875119
-69.518959,64,536.443145
1969.154924,65,536.520569
2701.10521,112,536.65902
3151.308719,118,536.792441
3168.267729,140,536.955762
2079.556988,81,537.051096
3118.785826,116,537.192023
3590.896231,137,537.358401
1742.415102,70,537.446319
3232.617937,146,537.627123
622.551919,95,546.755205
144.596227,59,546.83402
1273.83458,85,546.93783
2279.699849,96,547.048474
